13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-2T4:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-2T7:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-2T10:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-2T13:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-2T16:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-2T19:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-2T22:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-3T1:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-3T4:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-3T7:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-3T10:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-3T13:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
