Windrichtung_Stundenmittel_Forecast,Windrichtung_Stundenmittel_WeatherStation,Windgeschwindigkeit_Stundenmittel_Forecast,Windgeschwindigkeit_Stundenmittel_WeatherStation,RelativeLuftfeuchte_2m_Forecast,RelativeLuftfeuchte_2m_WeatherStation,Lufttemperatur_2m_Forecast,Lufttemperatur_2m_WeatherStation
0.0410077,0.191699,0.292895,0.281485,0.889615,-0.04263,1.11563,1.1915
0.0401594,0.079109,0.309891,0.33992,1.0026,0.131317,1.08882,1.12277
0.0393127,0.079109,0.326886,0.135396,1.1156,0.218291,1.062,1.12277
0.0881949,-0.0334813,0.345504,0.427573,1.17612,0.305264,1.08211,1.10558
0.137935,0.079109,0.347125,0.515227,1.12366,0.653158,1.12904,1.05403
0.187675,0.079109,0.348746,0.807404,1.0712,0.479211,1.17595,1.15713
0.25383,0.079109,0.166615,0.748969,0.83716,0.305264,1.22286,1.26024
0.38614,0.191699,-0.197646,0.369138,0.369063,-0.129603,1.3167,1.48363
0.458221,0.30429,-0.348193,0.0185249,0.308534,-0.651445,1.31,1.50081
0.530313,0.30429,-0.498743,-0.244435,0.248005,-0.825392,1.30329,1.6211
0.602393,0.30429,-0.64929,-0.273653,0.187475,-0.651445,1.29659,1.55237
0.665095,0.41688,-0.821743,-0.624266,0.211687,-0.390524,1.22957,1.41489
0.696452,0.41688,-0.907969,-0.799572,0.223793,0.0443435,1.19605,1.20869
0.671202,0.191699,-0.914883,-1.1794,0.167295,0.566185,1.16925,0.950927
0.64596,0.191699,-0.921795,-1.29627,0.110809,0.653158,1.14243,1.03685
0.636353,-0.146072,-0.98105,-1.03331,0.203613,0.827105,1.11563,0.899375
0.651999,0.41688,-1.03339,-1.03331,0.352926,0.653158,1.11563,0.968111
0.667644,0.30429,-1.08573,-1.23784,0.502228,0.653158,1.11563,0.950927
0.655657,0.52947,-1.02711,-1.09175,0.425561,0.566185,1.08882,0.899375
0.631673,0.979831,-0.909864,-1.09175,0.272216,0.0443435,1.0352,0.882191
0.657983,0.979831,-0.98438,-1.03331,0.219762,0.218291,1.02178,0.899375
0.684298,0.979831,-1.0589,-1.12097,0.167295,0.566185,1.00839,0.830639
0.710618,1.43019,-1.13341,-1.61767,0.11484,0.740132,0.994982,0.796271
0.90035,-0.371252,-1.38742,-1.53002,-0.232198,0.827105,1.062,0.950927
0.995221,0.979831,-1.51442,-1.47158,-0.405712,0.131317,1.09552,1.01966
1.13986,1.43019,-1.397,-1.09175,-0.409743,0.131317,1.10221,1.12277
1.28451,1.43019,-1.27959,-1.03331,-0.413786,-0.129603,1.10893,1.22587
1.45393,1.43019,-0.951498,-0.536612,-0.264473,-0.999339,1.08211,1.44926
1.4787,1.54278,-0.740825,-0.244435,-0.11114,-0.825392,1.04861,1.39771
1.50346,1.65537,-0.530153,-0.215217,0.0422051,-0.825392,1.01509,1.41489
1.49519,1.65537,-0.490617,-0.361306,0.130977,-0.912365,1.02178,1.39771
1.47863,1.76796,-0.411548,-0.30287,0.308534,0.305264,1.0352,1.01966
1.45679,1.65537,-0.583077,-0.332088,0.356957,0.653158,1.08211,0.950927
1.43496,1.76796,-0.754607,-0.711919,0.405381,0.740132,1.12904,1.05403
1.41313,-2.1727,-0.926135,-0.770354,0.453804,0.827105,1.17595,0.968111
1.5731,-1.94752,-0.873924,-0.711919,0.67171,1.08803,1.20275,0.865007
1.65307,-1.94752,-0.847817,-0.945661,0.780662,1.00105,1.21616,0.882191
0.350815,-1.94752,-0.850737,-0.711919,0.869435,0.914079,1.17595,0.813455
-0.951449,-2.06011,-0.853656,-0.858008,0.958219,1.08803,1.13573,0.779087
-2.2203,-2.1727,-0.961056,-0.916443,1.07523,1.00105,1.07541,0.899375
-2.1869,-1.94752,-1.06554,-0.945661,1.10349,0.653158,1.0553,0.916559
-2.15349,-1.94752,-1.17002,-1.09175,1.13173,0.653158,1.0352,0.985295
-0.91109,-2.1727,-1.15237,-0.887225,1.05507,0.566185,1.0553,1.0884
1.57371,-2.06011,-1.11709,-0.56583,0.901721,1.08803,1.09552,1.01966
