Windrichtung_Stundenmittel_Forecast,Windrichtung_Stundenmittel_WeatherStation,Windgeschwindigkeit_Stundenmittel_Forecast,Windgeschwindigkeit_Stundenmittel_WeatherStation,RelativeLuftfeuchte_2m_Forecast,RelativeLuftfeuchte_2m_WeatherStation,Lufttemperatur_2m_Forecast,Lufttemperatur_2m_WeatherStation
1.70154,-2.06011,-0.915128,-1.0041,-2.27001,-0.651445,0.753695,0.00580869
1.11962,-0.821613,-1.2544,-1.1794,-2.28615,0.392238,0.787213,-0.372239
0.698974,-0.0334813,-0.840669,-0.478177,-1.81402,-0.651445,0.840819,0.744719
0.392847,0.52947,-0.328672,-0.244435,-0.865734,-1.34723,0.93466,0.933743
0.281274,0.64206,-0.0817823,-0.0691283,-0.482378,-0.651445,0.961463,0.916559
0.164476,0.191699,0.61223,0.807404,-0.538876,-0.651445,0.994982,0.916559
0.148231,0.191699,0.827166,0.924275,-0.224124,-0.390524,0.834124,0.796271
0.246289,0.191699,0.487027,1.04115,0.433624,-0.651445,0.787213,0.916559
0.571778,0.41688,-0.368433,0.86584,0.00185629,0.653158,0.968179,0.675984
1.12543,1.20501,-0.170756,-0.215217,-0.575194,-0.390524,1.09552,0.727535
1.14397,1.20501,0.303718,0.310702,-0.639754,-0.30355,1.01509,0.641616
1.04842,1.09242,0.876088,0.982711,-1.23698,-1.17329,1.04861,0.727535
0.774294,0.754651,1.19193,1.33332,-0.599405,-0.738418,1.01509,0.950927
0.657271,0.754651,1.11998,1.45019,0.155189,0.479211,1.00839,0.796271
0.641331,0.867241,0.625623,0.0769604,0.849266,0.827105,1.16925,0.950927
0.688226,0.64206,-0.0734655,-0.30287,0.780662,1.00105,1.3167,1.0884
0.493533,0.52947,0.187773,0.106178,1.21647,1.08803,1.30329,1.12277
0.715896,0.754651,0.313432,0.661315,1.04296,0.131317,1.33681,1.32897
1.09184,1.09242,0.503575,0.369138,0.0906286,0.218291,1.27648,1.05403
1.11179,1.3176,-0.209455,0.164614,-1.58805,-1.17329,1.0553,0.761903
0.848002,0.867241,-0.413391,-0.0106928,-1.74139,-1.34723,1.0553,0.761903
0.725746,0.754651,-0.369414,0.310702,-1.70104,-1.17329,1.15584,1.20869
0.707034,0.867241,-0.780552,-0.0691283,-1.2733,-1.60815,1.25638,1.22587
0.411066,0.754651,-1.07829,-0.82879,-0.716433,0.131317,1.3167,0.675984
0.00788182,-0.146072,-0.701725,-1.09175,0.0906286,0.914079,1.17595,0.830639
0.144065,0.30429,-0.393655,-0.185999,0.0987032,0.827105,0.907857,0.968111
0.18448,0.191699,-1.18073,-0.156782,-0.337108,-0.129603,1.06872,1.15713
-0.95446,0.079109,-2.12952,-1.03331,-0.0425359,-1.08631,1.33681,1.34616
-0.713834,-0.934204,-1.35917,-1.26706,-0.46221,0.914079,1.29659,0.538512
-0.85461,-0.934204,-1.65581,-1.1794,0.151158,0.479211,1.18936,0.607248
-0.603082,-1.04679,-1.5321,-1.26706,0.0422051,1.00105,1.17595,0.521328
-1.05612,-1.04679,-1.86337,-1.20862,0.296428,-1.17329,1.30799,1.60392
-1.19724,-1.15938,-1.73138,-1.41314,0.235899,-0.30355,1.43065,1.43208
-0.028736,-1.15938,-1.28831,-0.858008,1.31332,0.392238,1.28855,0.899375
0.242292,0.30429,-0.783663,-0.507395,1.32139,1.175,1.26577,1.10558
0.208086,0.079109,-0.283907,-0.916443,1.62807,1.34895,1.17193,1.10558
0.346013,0.079109,-0.55792,-0.595048,1.04699,0.827105,1.30061,1.24305
0.658118,0.52947,-0.962144,-1.15019,0.885584,1.08803,1.23158,1.12277
0.467026,0.191699,-0.937859,-1.03331,0.990493,1.26197,1.16121,0.968111
0.165833,0.41688,-1.0037,-1.03331,1.11963,1.08803,1.0734,0.830639
0.0758445,-0.0334813,-0.724044,-0.887225,1.54333,1.00105,0.956115,1.00248
0.367647,0.079109,-1.09742,-0.448959,0.756451,0.479211,1.28318,1.1915
0.490211,-0.371252,-0.99497,-1.35471,1.28911,0.827105,1.27648,1.00248
0.51785,0.191699,-0.967898,-0.536612,1.61597,1.175,1.18264,1.0884
1.06987,0.64206,-1.08372,-1.15019,1.07928,1.175,1.13573,1.01966
1.47949,1.43019,-1.61666,-1.47158,0.744345,-0.390524,1.15584,1.27742
-2.17791,0.754651,-1.16227,-1.26706,0.73627,-0.564471,1.14914,1.36334
-1.54393,-1.49716,-1.25696,-1.64689,0.756451,1.00105,1.10893,0.675984
-0.639233,-0.934204,-1.26525,-1.44236,1.36174,1.08803,1.15584,0.933743
-0.276852,-0.596433,-0.742476,-1.0041,1.12366,1.34895,1.01107,1.00248
-0.263971,-0.146072,-1.04717,-0.799572,0.417487,0.653158,1.11563,1.27742
-0.421181,0.30429,-1.63988,-1.44236,-0.0425359,0.392238,1.45745,1.32897
-0.514343,-1.27197,-0.835687,-1.29627,0.0583422,1.26197,1.3435,0.968111
-0.508518,-0.596433,0.0712878,-0.448959,-0.280622,-0.216577,1.14914,0.899375
-0.576071,-0.821613,0.203131,-0.478177,-0.405712,0.653158,0.814016,0.555696
-0.691685,-0.709023,0.189482,-0.185999,-0.676072,-1.08631,1.18936,1.36334
-0.752646,-0.821613,0.0316378,-0.244435,-0.684146,-1.95605,1.43734,1.55237
-0.69813,-0.821613,0.735373,-0.156782,-0.744676,-0.912365,1.09552,0.830639
-0.263937,-0.709023,-0.69263,-0.390524,-0.187806,-0.04263,0.867643,0.469776
-0.962467,-0.934204,-1.53422,-0.974879,0.425561,0.740132,0.733587,0.194832
-1.13422,-1.94752,-1.34199,-1.35471,-0.115171,-0.30355,0.854231,0.744719
-1.07076,-1.94752,-0.749115,-1.58845,-0.635723,0.740132,1.13573,0.590064
-0.88561,-1.15938,-0.212224,-1.0041,-0.0183242,0.914079,0.921249,0.108913
-0.82269,-1.04679,0.144479,-0.858008,0.0906286,1.00105,0.693373,0.0745446
-0.926319,-1.15938,0.869515,-0.273653,-0.187806,0.827105,0.740283,0.349488
-0.921973,-0.934204,0.826926,0.369138,-0.970656,-1.17329,1.12904,1.24305
-0.952633,-1.15938,1.10463,0.106178,-1.16838,-0.477498,1.15584,0.710351
-0.947712,-1.15938,1.23266,0.281485,-0.30079,-0.825392,0.901141,0.452592
-0.829367,-1.15938,1.18023,0.252267,0.3852,-0.216577,0.720176,0.280752
-0.586636,-0.934204,1.11124,0.427573,1.18016,1.175,0.653158,0.212016
-0.0399148,-0.483843,1.38359,0.164614,-0.341151,0.479211,0.968179,0.761903
0.139132,0.191699,1.52034,1.77159,-1.37821,-1.17329,0.746999,0.607248
0.164217,0.191699,1.75664,2.03455,-0.647829,-0.825392,0.592836,0.504144
0.0886352,0.079109,0.890193,1.50863,-0.171669,0.131317,0.438674,0.349488
-0.245491,-0.146072,0.297424,0.369138,-0.926264,-0.129603,0.612943,0.452592
-0.592792,-0.709023,0.420224,-0.390524,0.381169,-0.390524,0.773802,0.641616
-0.300266,-0.596433,0.237384,-0.0106928,1.04296,0.827105,0.867643,0.693168
-0.113294,-0.258662,0.712717,-0.0399106,1.04296,0.392238,1.10893,0.968111
0.168868,0.079109,0.859577,0.456791,0.67171,0.566185,0.974875,0.796271
0.046233,0.191699,0.456947,0.661315,-0.228155,-0.390524,1.09552,1.0884
-0.0590725,-0.0334813,0.141396,-0.215217,-0.187806,-0.651445,1.23627,1.10558
0.090613,0.079109,0.9188,0.544444,0.102734,-0.30355,1.0553,0.882191
0.103672,0.079109,1.06589,1.1288,0.00185629,-0.564471,0.847535,0.847823
0.161089,0.191699,1.04149,1.15802,0.260111,0.0443435,0.807321,0.779087
0.292416,0.41688,0.330589,0.86584,-0.780993,-0.477498,1.15584,1.0884
0.261868,0.30429,-0.638289,-0.215217,-0.579225,-0.04263,1.10893,0.796271
-0.0537553,-0.146072,-0.667844,-0.887225,0.344852,0.740132,0.88775,0.6588
-0.313283,-0.596433,-1.02897,-1.0041,0.429593,1.175,0.693373,0.177648
-0.428861,-0.934204,-0.95906,-1.12097,0.183444,1.08803,0.673265,0.297936
-0.0720325,-0.258662,-1.37049,-1.0041,-0.805205,-0.738418,1.08211,1.26024
0.0540944,0.30429,-1.7857,-1.44236,-1.60419,0.914079,1.0352,0.727535
0.117152,0.41688,-0.249001,-1.0041,0.0664168,0.914079,0.854231,0.607248
0.490508,0.41688,0.286902,0.632098,-0.0223554,0.131317,0.814016,0.710351
0.484102,0.754651,-0.720515,-0.156782,-0.52677,-0.390524,0.822059,0.899375
0.487821,0.30429,-1.80439,-0.361306,-1.44278,-0.216577,0.927964,0.985295
-1.02803,-1.04679,-1.14503,-1.53002,-0.522739,1.26197,0.840819,0.108913
-1.19488,-1.27197,0.0890262,-0.82879,0.163264,1.175,0.773802,0.2292
-1.32513,-1.49716,0.759387,-0.653483,0.667678,1.00105,0.573392,0.194832
-1.18094,-1.38456,-0.0347539,0.106178,1.46262,1.00105,0.516428,0.263568
-1.1578,-1.27197,-0.268781,-0.916443,1.60386,1.34895,0.693373,0.48696
-0.932212,-1.49716,-0.921628,-1.12097,1.52719,1.34895,0.854231,0.504144
-0.811937,-1.38456,-1.18641,-1.29627,1.27297,1.34895,0.847535,0.469776
-0.0799677,-1.04679,-0.830308,-1.12097,0.211687,1.43592,0.773802,0.48696
-0.141879,-0.371252,-0.800118,-1.12097,-0.914158,0.131317,0.925954,0.968111
-0.220609,-0.934204,-0.645484,-1.41314,-0.276578,-0.216577,0.860927,0.796271
-0.245565,-0.709023,-0.548219,-1.12097,0.102734,0.218291,0.793909,0.57288
-0.31983,-0.371252,-0.442471,-0.945661,1.2084,1.175,0.680645,0.57288
-0.227202,-0.371252,-0.145635,-0.595048,1.34156,0.566185,0.649137,0.57288
-0.0161995,-0.146072,-0.716781,-0.390524,0.901721,0.653158,0.814016,0.761903
0.756379,-0.146072,-0.818947,-0.711919,0.486091,0.914079,0.927964,0.796271
0.593115,0.52947,-0.437887,-0.916443,0.40135,1.08803,0.827428,0.6588
0.315026,0.191699,-0.860649,-1.5008,0.502228,1.34895,0.653158,0.452592
-0.174109,-0.146072,-0.872499,-0.711919,1.18016,0.740132,0.480899,0.452592
-0.352275,-0.483843,-0.725331,-0.974879,1.32543,0.740132,0.606248,0.57288
0.152252,-0.596433,-0.357559,-1.09175,0.599075,0.827105,0.93466,0.590064
0.252611,-0.258662,-0.238925,-0.858008,1.0026,1.175,0.830102,0.607248
0.27275,0.079109,0.0911223,-0.361306,1.02681,0.827105,0.74901,0.744719
0.521902,0.30429,0.335591,1.01193,0.792768,1.08803,0.999003,0.813455
0.798048,0.754651,-0.504037,0.0769604,0.522408,0.827105,1.10893,0.865007
0.362466,-1.38456,-1.17442,-1.64689,0.716102,1.34895,1.04861,0.160464
0.138326,-0.258662,-0.784199,-0.916443,1.18016,1.34895,0.894446,0.744719
-0.412616,-0.483843,-0.174702,-0.858008,1.2649,1.34895,0.780498,0.538512
-0.41248,-0.596433,0.427258,-0.215217,0.570832,0.740132,0.982918,0.727535
-0.321551,-0.483843,0.158559,0.0185249,-0.00621831,-0.04263,1.35691,1.0884
-0.174121,-0.371252,0.281843,-0.0399106,0.994537,0.305264,1.12232,1.03685
0.0236095,-0.146072,0.330975,-0.0983461,1.42227,0.653158,1.18264,1.00248
0.100461,-0.0334813,0.190084,0.252267,1.80966,1.00105,1.0352,0.968111
0.224839,0.079109,0.465916,-0.0983461,1.72089,1.26197,1.14914,0.968111
0.342552,0.52947,0.796498,1.27489,1.50298,0.914079,1.11563,1.05403
0.391619,0.41688,1.34034,1.27489,0.81698,0.653158,1.03922,0.968111
0.634298,0.64206,1.67681,2.26829,0.276248,-0.129603,0.980243,0.985295
0.819091,0.867241,1.13214,1.33332,-0.591331,-0.651445,0.907857,0.779087
0.811453,0.867241,0.867987,1.33332,-0.986793,-1.43421,0.88037,0.882191
0.679816,0.64206,0.832102,0.719751,-0.0909593,0.305264,0.766422,0.624432
0.574239,0.754651,0.439646,0.778186,0.0341305,0.0443435,0.730229,0.48696
0.227048,0.191699,-0.129357,0.310702,0.647498,0.740132,0.643104,0.57288
0.00415821,0.079109,1.29006,0.778186,1.08734,0.479211,0.545926,0.590064
