x,MOS_Multiple_Forecast,Lufttemperatur_2m_Forecast,Lufttemperatur_2m_WeatherStation
599,-0.437190574,-0.464807,-0.544078
600,-0.3836236197,-0.407837,-0.544078
601,-0.3615659194,-0.384378,-0.372239
602,-0.2285925605,-0.242957,-0.355055
603,-0.2052739636,-0.218157,-0.251951
604,-0.2745978957,-0.291885,-0.320687
605,-0.2393050111,-0.25435,-0.286319
606,-0.2771178086,-0.294565,-0.269135
607,-0.2802695802,-0.297917,-0.251951
608,-0.2689252709,-0.285852,-0.286319
609,-0.25821188,-0.274458,-0.269135
610,-0.2575819018,-0.273788,-0.320687
611,-0.3294257468,-0.350196,-0.337871
612,-0.3735392667,-0.397112,-0.320687
613,-0.439081449,-0.466818,-0.423791
614,-0.5008418813,-0.532502,-0.50971
615,-0.4970610717,-0.528481,-0.612814
616,-0.5355029071,-0.569365,-0.647182
617,-0.5588196236,-0.594163,-0.664366
618,-0.9192988051,-0.977543,-1.23144
619,-1.2822950787,-1.3636,-1.57512
620,-1.4159068782,-1.5057,-1.52356
621,-1.4915230705,-1.58612,-2.00472
622,-1.5205114714,-1.61695,-1.50638
623,-1.230618059,-1.30864,-1.24862
624,-1.2709554707,-1.35154,-1.31736
625,-1.5375302862,-1.63505,-1.57512
626,-1.5009821465,-1.59618,-1.54075
627,-1.4669445171,-1.55998,-1.52356
628,-1.4921530487,-1.58679,-1.85006
629,-1.6207156198,-1.72352,-1.6954
630,-1.5167316021,-1.61293,-1.79851
631,-1.3049836975,-1.38773,-1.66104
632,-1.3453211091,-1.43063,-1.67822
633,-1.157512377,-1.23089,-1.42046
634,-0.8020805434,-0.852878,-1.02523
635,-0.7258259106,-0.771779,-1.11115
636,-1.1379830521,-1.21012,-1.55793
637,-1.4014079764,-1.49028,-1.40328
638,-0.9016537732,-0.958777,-1.17989
639,-0.5512580043,-0.586121,-0.819022
640,-0.5562997107,-0.591483,-0.76747
641,-0.6394869248,-0.679955,-0.733102
642,-0.6842323035,-0.727543,-0.733102
643,-0.5714248296,-0.607569,-0.93931
644,-0.5941125081,-0.631698,-0.801838
645,-0.5670140418,-0.602878,-0.750286
646,-0.5752056393,-0.61159,-0.664366
647,-0.6029359643,-0.641082,-0.647182
648,-0.6760388255,-0.718829,-0.819022
649,-0.7264558888,-0.772449,-0.698734
650,-0.8083822062,-0.85958,-0.801838
651,-0.935052962,-0.994298,-0.870574
652,-0.8833768826,-0.939339,-0.85339
653,-0.9627832871,-1.02379,-0.922126
654,-0.8285490315,-0.881028,-0.76747
655,-0.3596750445,-0.382367,-0.475342
656,-0.5373937821,-0.571376,-0.406607
657,-0.5884408236,-0.625666,-0.526894
658,-0.5827681987,-0.619633,-0.561262
659,-0.6357061152,-0.675934,-0.578446
660,-0.648310381,-0.689339,-0.612814
661,-0.6848622817,-0.728213,-0.68155
662,-0.6426386964,-0.683307,-0.93931
663,-0.6842323035,-0.727543,-0.887758
664,-0.6678462878,-0.710116,-0.870574
665,-0.6527211688,-0.69403,-0.887758
666,-0.6476794625,-0.688668,-0.733102
667,-0.6357061152,-0.675934,-0.870574
668,-0.6943147759,-0.738266,-0.733102
669,-0.6791905972,-0.722181,-0.76747
670,-0.7188933293,-0.764406,-0.76747
671,-0.7277167855,-0.77379,-0.715918
672,-0.7478817303,-0.795236,-0.870574
673,-1.1480627037,-1.22084,-0.973678
674,-1.1512125948,-1.22419,-1.09397
675,-1.1266340414,-1.19805,-1.0596
676,-1.1026854662,-1.17258,-1.07678
677,-1.27473534,-1.35556,-1.21425
678,-0.7258259106,-0.771779,-0.819022
679,-0.6565029187,-0.698052,-0.870574
680,-0.683601385,-0.726872,-0.733102
681,-0.7377992579,-0.784513,-0.715918
