x,Forecast,Real
202,0.949131,0.916559
203,1.077,1.24305
204,0.966045,1.03685
205,0.834665,1.03685
206,0.706381,0.985295
207,0.809654,1.1915
208,1.12169,1.34616
209,0.993653,0.865007
210,0.995975,0.916559
211,0.825584,1.00248
212,1.16478,1.17432
213,1.28088,1.17432
214,0.716121,0.985295
215,0.920464,0.950927
216,0.765057,0.590064
217,1.10252,1.0884
218,1.27172,1.72421
219,0.898713,0.968111
220,0.858757,0.57288
221,0.431269,0.0229927
222,1.33625,0.761903
223,1.49696,0.744719
224,0.823488,0.0917285
225,0.558124,0.160464
226,0.42283,0.108913
227,0.729391,1.1915
228,0.684827,0.847823
229,0.418922,0.521328
230,0.215721,0.31512
231,0.413798,0.2292
232,1.23435,0.847823
233,0.757919,0.6588
234,0.597637,0.57288
235,0.516392,0.349488
236,0.484836,0.418224
237,0.682203,0.6588
238,0.56715,0.675984
239,0.50377,0.899375
240,0.273491,0.865007
241,0.435751,0.968111
242,0.689821,1.05403
243,0.71074,0.865007
244,0.922953,0.882191
245,0.668107,0.744719
246,1.01601,1.05403
247,1.14831,0.933743
248,0.855344,0.710351
249,0.771496,0.383856
250,0.706985,-0.148847
251,1.09844,1.24305
252,0.815507,0.813455
253,0.636253,0.607248
254,0.199342,0.727535
255,0.364783,0.796271
256,1.25854,0.899375
257,0.609555,0.126096
258,0.551164,0.177648
259,0.629105,0.194832
260,0.784764,0.297936
261,0.88448,0.435408
262,0.326193,0.504144
263,0.383847,0.469776
264,0.251534,0.469776
265,0.346752,0.899375
266,0.530009,0.882191
267,0.576671,0.607248
268,0.498595,0.504144
269,0.347258,0.57288
270,0.882752,0.607248
271,0.790247,0.744719
272,0.529249,0.590064
273,0.566518,0.469776
274,0.473132,0.452592
275,0.664199,0.57288
276,0.660676,0.624432
277,0.5124,0.521328
278,0.318978,0.693168
279,0.316938,0.761903
280,0.490516,0.916559
281,0.620029,0.194832
282,0.533615,0.607248
283,0.548944,0.57288
284,0.75472,0.607248
285,0.820002,1.13995
286,0.431101,0.985295
